Image;Time(s);Temperature(oC)
GGQT_S6_2-00053;839.779986676765;249.97375743700238
GGQT_S6_2-00054;840.779986676765;250.1050036750273
GGQT_S6_2-00055;841.779986676765;249.89576169354336
GGQT_S6_2-00056;842.779986676765;249.99843668598646
GGQT_S6_2-00057;843.779986676765;249.9872255883732
GGQT_S6_2-00058;844.779986676765;249.99285890280353
GGQT_S6_2-00059;845.779986676765;236.05865565429133
GGQT_S6_2-00060;846.779986676765;193.24888701469607
GGQT_S6_2-00061;847.779986676765;165.12247852375972
GGQT_S6_2-00062;848.779986676765;137.1545952994501
GGQT_S6_2-00063;849.779986676765;108.94700581468533
GGQT_S6_2-00064;850.779986676765;83.09867937724137
GGQT_S6_2-00065;851.779986676765;67.28419944449843
GGQT_S6_2-00066;852.779986676765;62.617093552929695
GGQT_S6_2-00067;853.779986676765;61.80336967533116
GGQT_S6_2-00068;854.779986676765;60.98964579773262
GGQT_S6_2-00069;855.779986676765;60.17592192013409
GGQT_S6_2-00070;856.779986676765;59.36219804253555
GGQT_S6_2-00071;860.67098670919;56.436102444157754
GGQT_S6_2-00072;865.3739867778545;53.16327715841247
GGQT_S6_2-00073;869.9679866405254;50.24146488834438
GGQT_S6_2-00074;874.67098670919;47.61265188540681
GGQT_S6_2-00075;879.2809866042858;45.15212656917765
GGQT_S6_2-00076;883.9839866729503;43.009421583668974
GGQT_S6_2-00077;888.5779867740398;41.43127585308621
GGQT_S6_2-00078;893.2809866042858;39.64925331578669
GGQT_S6_2-00079;898.0779867740398;37.9401340451474
GGQT_S6_2-00080;902.6879866691356;36.467543248288315
GGQT_S6_2-00081;907.3909867378002;35.13808953444969
GGQT_S6_2-00082;912.0779867740398;33.94596087548937
GGQT_S6_2-00083;916.6879866691356;32.840636030105145
GGQT_S6_2-00084;921.3909867378002;31.830846897409078
GGQT_S6_2-00085;925.9849866004711;30.94700032652951
GGQT_S6_2-00086;930.5939868064647;30.139457337323964
GGQT_S6_2-00087;935.29798680265;29.341759169011013
GGQT_S6_2-00088;939.8909867378002;28.706191773709296
GGQT_S6_2-00089;944.5949867339855;28.067219428664906
GGQT_S6_2-00090;949.1889865966564;27.430329290287826
GGQT_S6_2-00091;953.8919866653209;26.827736449598365
GGQT_S6_2-00092;958.500986632896;26.37193557386641
GGQT_S6_2-00093;963.0949867339855;25.861216720786537
GGQT_S6_2-00094;967.79798680265;
GGQT_S6_2-00095;972.4079866977459;
